field_id,title,availability,stability,private,value_type,base_type,item_type,strata,instanced,arrayed,sexed,units,main_category,encoding_id,instance_id,instance_min,instance_max,array_min,array_max,notes,debut,version,num_participants,item_count,showcase_order,cost_do,cost_on,cost_sc
3,Verbal interview duration,0,0,0,11,0,0,2,1,0,0,seconds,152,0,2,0,3,0,0,Time taken for interview,2012-01-05T00:00:00,2023-03-08T00:00:00,501528,585037,0,1,1,1
4,Biometrics duration,0,0,0,11,0,0,2,1,0,0,seconds,152,0,2,0,3,0,0,Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.,2012-01-05T00:00:00,2023-03-08T00:00:00,498017,586338,0,1,1,1
5,Sample collection duration,0,0,0,11,0,0,2,1,0,0,seconds,152,0,2,0,3,0,0,Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.,2012-01-05T00:00:00,2023-03-08T00:00:00,501201,591369,0,1,1,1
6,Conclusion duration,0,0,0,11,0,0,2,1,0,0,seconds,152,0,2,0,3,0,0,This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.,2012-01-05T00:00:00,2023-03-08T00:00:00,499062,589111,0,1,1,1
19,Heel ultrasound method,0,0,0,21,11,0,0,1,0,0,,100018,100260,2,0,0,0,0,Method used for the Ultrasound Bone Densitometry of heel,2012-01-05T00:00:00,2012-01-06T00:00:00,324694,324694,3,1,1,1
21,Weight method,0,0,0,21,11,0,0,1,0,0,,100010,100261,2,0,3,0,0,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed",2012-01-05T00:00:00,2023-03-08T00:00:00,500719,590084,11,1,1,1
23,Spirometry method,0,0,0,21,11,0,0,1,0,0,,100020,100270,2,0,3,0,0,Spirometry method,2012-01-05T00:00:00,2023-03-07T00:00:00,460213,523182,180,1,1,1
31,Sex,0,0,0,21,11,0,0,0,0,0,,100094,9,0,0,0,0,0,"Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.",2012-01-05T00:00:00,2022-03-10T00:00:00,502371,502371,140,1,1,1
33,Date of birth,0,0,1,51,0,0,0,0,0,0,,100094,0,0,0,0,0,0,"Date of birth (DOB) of participant. <p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.",2012-01-05T00:00:00,2022-03-23T00:00:00,502371,502371,110,0,0,1
34,Year of birth,0,0,0,11,0,0,0,0,0,0,years,100094,0,0,0,0,0,0,"Year of birth of participant.<p>Acquired from central registry, updated by participant.",2012-01-05T00:00:00,2012-01-06T00:00:00,502368,502368,130,1,1,1
35,Was blood sampling attempted,0,0,0,21,11,0,0,1,0,0,,100002,7,2,0,3,0,0,Indicates whether or not taking blood samples was attempted,2012-01-05T00:00:00,2023-03-08T00:00:00,501201,591369,1,1,1,1
36,Blood pressure device ID,0,0,0,41,0,0,2,1,0,0,,100011,0,2,0,3,0,0,Blood pressure (Omron) gadget ID,2012-01-05T00:00:00,2023-03-08T00:00:00,498780,581267,0,1,1,1
37,Blood pressure manual sphygmomanometer device ID,0,0,0,41,0,0,2,1,0,0,,100011,0,2,0,3,0,0,Blood pressure manual sphygmomanometer gadget ID,2012-01-05T00:00:00,2023-03-08T00:00:00,498780,581267,0,1,1,1
38,Hand grip dynamometer device ID,0,0,0,41,0,0,2,1,0,0,,100019,0,2,0,3,0,0,Hand grip dynamometer device id. Dynamometer calibration records are available in the associated Resources.,2012-01-05T00:00:00,2023-03-08T00:00:00,498018,586339,3,1,1,1
39,Height measure device ID,0,0,0,41,0,0,2,1,0,0,,100010,0,2,0,3,0,0,Height measure gadget id,2012-01-05T00:00:00,2023-03-08T00:00:00,498018,586339,5,1,1,1
40,Manual scales device ID,0,0,0,41,0,0,2,1,0,0,,100010,0,2,0,3,0,0,Manual scales gadget id,2012-01-05T00:00:00,2023-03-08T00:00:00,498018,586339,12,1,1,1
41,Seating box device ID,0,0,0,41,0,0,2,1,0,0,,100010,0,2,0,3,0,0,Sitting box gadget id,2012-01-05T00:00:00,2023-03-08T00:00:00,498018,586339,9,1,1,1
42,Spirometer device ID,0,0,0,41,0,0,2,1,0,0,,100020,0,2,0,3,0,0,Spirometer gadget ID,2012-01-05T00:00:00,2023-03-08T00:00:00,498018,586339,440,1,1,1
43,Impedance device ID,0,0,0,41,0,0,2,1,0,0,,100009,0,2,0,3,0,0,Impedance (Tanita) gadget id,2012-01-05T00:00:00,2023-03-08T00:00:00,498018,586339,370,1,1,1
44,Tape measure device ID,0,0,0,41,0,0,2,1,0,0,,100010,0,2,0,3,0,0,Tape measure gadget id,2012-01-05T00:00:00,2023-03-08T00:00:00,498018,586339,3,1,1,1
45,Heel ultrasound device id,0,0,0,41,0,0,2,1,0,0,,100018,0,2,0,3,0,0,Ultrasound heel (Sahara) gadget ID,2012-01-05T00:00:00,2022-12-24T00:00:00,497959,579559,42,1,1,1
46,Hand grip strength (left),0,0,0,11,0,0,0,1,0,0,Kg,100019,0,2,0,3,0,0,"Left grip strength. <br> <br> An issue has been identified with the a small amount of grip strength data (~F46~ and ~F47~) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution. <br> In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013.<br> The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.",2012-01-05T00:00:00,2023-03-08T00:00:00,499191,587870,1,1,1,1
47,Hand grip strength (right),0,0,0,11,0,0,0,1,0,0,Kg,100019,0,2,0,3,0,0,"Right grip strength. <br> <br> An issue has been identified with the a small amount of grip strength data (~F46~ and ~F47~) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution. <br> In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013. <br> The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.",2012-01-05T00:00:00,2023-03-08T00:00:00,499259,587958,1.5,1,1,1
48,Waist circumference,0,0,0,31,0,0,0,1,0,0,cm,100010,0,2,0,3,0,0,Waist circumference,2012-01-05T00:00:00,2023-03-08T00:00:00,500290,589619,1,1,1,1
49,Hip circumference,0,0,0,31,0,0,0,1,0,0,cm,100010,0,2,0,3,0,0,Hip circumference,2012-01-05T00:00:00,2023-03-08T00:00:00,500227,589557,2,1,1,1
50,Standing height,0,0,0,31,0,0,0,1,0,0,cm,100010,0,2,0,3,0,0,Standing height was measured using a Seca 202 device,2012-01-05T00:00:00,2023-03-08T00:00:00,499928,589191,4,1,1,1
51,Seated height,0,0,0,31,0,0,0,1,0,0,cm,100010,0,2,0,3,0,0,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",2012-01-05T00:00:00,2023-03-08T00:00:00,497227,585289,6,1,1,1
52,Month of birth,0,0,0,21,11,0,0,0,0,0,,100094,8,0,0,0,0,0,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant.",2012-01-05T00:00:00,2012-01-06T00:00:00,502368,502368,120,1,1,1
53,Date of attending assessment centre,0,0,0,51,0,0,0,1,0,0,,100024,0,2,0,3,0,0,Date when a participant attended a UK Biobank assessment centre. <p>Automatically acquired at Reception stage.,2012-01-05T00:00:00,2023-03-10T00:00:00,502371,593654,110,1,1,1
